Altitude (m),Mach Number,TSFC (g/(kNs)),Thrust (N)
0,0.060727566,14.91013052,18783.58993
0,0.095700217,15.53474437,18111.2823
0,0.13067409,16.14407678,17506.19708
0,0.163704163,16.72966012,16920.99506
0,0.196077243,17.42066437,16342.96439
0,0.23364113,18.08318357,15711.18616
0,0.26472331,18.69621062,15169.04797
0,0.293862034,19.28117705,14687.72907
0,0.328835902,19.89057893,14125.46077
0,0.355542955,20.46988509,13690.80758
0,0.379330652,21.05929583,13317.97038
0,0.424000314,22.07779722,12635.3675
0,0.453134405,22.72072393,12190.99691
0,0.478379792,23.32996036,11808.73322
0,0.501680846,23.92210604,11460.19293
0,0.524983366,24.495914,11122.5154
0,0.549254977,25.1167438,10788.46409
0,0.589250362,26.1787312,10198.7546
0,0.034973318,14.45967907,19292.30504
6096,0.152126631,15.52036898,11273.33669
6096,0.184382274,16.05779067,11031.02477
6096,0.222081847,16.64558786,10784.40763
6096,0.258998135,17.29599988,10549.3884
6096,0.299808514,17.91271704,10299.928
6096,0.338675118,18.5053656,10081.9145
6096,0.369767962,18.98498577,9896.310975
6096,0.412526778,19.56744508,9676.541676
6096,0.457225641,20.22060914,9509.734266
6096,0.498042514,20.75608614,9303.668354
6096,0.538855034,21.34601763,9132.81618
6096,0.576061425,21.84448267,9042.038765
6096,0.624378014,22.44404527,8923.53141
6096,0.667139703,22.99055849,8866.638805
6096,0.70990499,23.49206096,8779.133029
6096,0.752669878,23.99856461,8675.5638
6096,0.801460768,24.56187038,8565.761158
12192,0.419595381,19.67673303,4723.425445
12192,0.462614912,20.2058234,4660.156229
12192,0.503893714,20.57964471,4645.597817
12192,0.54667039,20.93867164,4623.731424
12192,0.58944647,21.30514183,4637.019487
12192,0.63222435,21.64910663,4623.695638
12192,0.675002029,21.99557203,4632.575312
12192,0.720261756,22.32249582,4660.44265
12192,0.760561186,22.64099148,4673.994239
12192,0.803933903,22.94541187,4727.716925
12192,0.846123941,23.24140017,4807.26077
12192,0.888906218,23.53035182,4925.990337
12192,0.931691093,23.7867957,4983.354439
12192,0.95891888,23.93687807,5055.072715
