TSFC (g/(kNs)),Mach Number,Thrust (N)
16.99536,0.12311725,46292.92747
16.99536,0.127102004,41665.72182
16.99536,0.129356399,38341.24354
16.99536,0.131022561,35106.54833
16.99536,0.130352215,32725.20975
16.99536,0.130859827,30209.23451
16.99536,0.13136296,27558.47082
16.99536,0.134190657,23694.91461
18.41164,0.232376264,42802.46814
18.41164,0.249378282,38491.43856
18.41164,0.25933345,35617.24175
18.41164,0.269875358,32608.33238
18.41164,0.275694981,29823.46328
18.41164,0.276233945,28251.00721
18.41164,0.277355171,26409.05013
18.41164,0.280814397,23758.66591
18.41164,0.290775537,21064.18704
18.41164,0.30014098,18234.84382
18.41164,0.300641127,15494.22116
18.41164,0.297031109,13606.72744
18.41164,0.283982494,12347.03219
18.41164,0.273904902,11537.01127
18.41164,0.263246542,11041.42084
18.41164,0.248446664,10455.44018
18.41164,0.195801323,9639.954852
18.41164,0.223596069,9868.169312
18.41164,0.242349348,40467.42514
19.82792,0.349343517,39986.9377
19.82792,0.366969599,36664.43267
19.82792,0.375186942,34868.31581
19.82792,0.384583737,32982.49177
19.82792,0.389858423,31590.3608
19.82792,0.39454637,30332.94238
19.82792,0.39803247,28491.28888
19.82792,0.398544561,26110.10209
19.82792,0.400828815,23684.2135
19.82792,0.399089498,24717.36397
19.82792,0.405512283,22292.00664
19.82792,0.410804885,21439.02948
19.82792,0.419634349,20272.0013
19.82792,0.429647743,19150.05439
19.82792,0.437885988,17982.95031
19.82792,0.44020458,16590.43987
19.82792,0.440171735,15601.9912
19.82792,0.433015898,13758.9716
19.82792,0.419949367,11960.12254
19.82792,0.405716821,10655.34603
21.2442,0.445061233,38202.05321
21.2442,0.475726973,35869.66652
21.2442,0.492237801,34568.83651
21.2442,0.513466436,32909.17778
21.2442,0.534692084,31159.66008
21.2442,0.545887916,30037.86496
21.2442,0.549406862,29184.66012
21.2442,0.557633163,27658.12016
21.2442,0.567032944,25862.15509
21.2442,0.573469166,23841.16312
21.2442,0.575777308,22134.14629
21.2442,0.579874035,20876.65198
21.2442,0.585166638,20023.67482
21.2442,0.592189599,17867.97029
21.2442,0.596844701,15622.10322
21.2442,0.596216157,14498.79021
21.2442,0.58907525,13105.06546
21.2442,0.57364683,11395.77179
21.2442,0.556465655,10315.26322
21.2442,0.542851201,9819.293319
22.66048,0.546703081,36777.36354
22.66048,0.572077712,35342.88349
22.66048,0.595677193,33863.24628
22.66048,0.63462746,31756.56953
22.66048,0.669443674,29784.14998
22.66048,0.707202546,27407.74454
22.66048,0.733753642,25793.69834
22.66048,0.763838613,23775.74215
22.66048,0.787423165,21846.81009
22.66048,0.801570611,20590.60599
22.66048,0.813353183,19334.09831
22.66048,0.823359112,17987.50397
22.66048,0.823339703,17403.42067
22.66048,0.822106505,15875.66641
22.66048,0.817939607,15021.47494
22.66048,0.80489547,13896.56815
22.66048,0.79541059,13131.5526
22.66048,0.776454266,12005.88687
22.66048,0.752173987,10789.67911
22.66048,0.736770948,9844.186682
24.07676,0.640671029,35711.12312
24.07676,0.663692728,34635.77537
24.07676,0.702065213,32933.38809
24.07676,0.732763798,31589.45006
24.07676,0.777043992,29753.03328
24.07676,0.829590796,27603.17262
24.07676,0.880369917,25632.80221
24.07676,0.925835534,23886.39618
24.07676,0.96775981,22319.25273
