Altitude (m),Mach Number,Thrust (N)
6096,0.237197832,9673.770209
6096,0.27709103,9381.36795
6096,0.314440487,9150.714776
6096,0.344373337,8982.774039
6096,0.382166541,8814.95215
6096,0.426982259,8646.4092
6096,0.456167513,8526.996888
6096,0.484027726,8425.803667
6096,0.522504528,8312.073122
6096,0.551694015,8227.34411
6096,0.580886101,8163.898032
6096,0.620693333,8076.090778
6096,0.649887728,8031.562863
6096,0.679080679,7975.211096
6096,0.712701227,7946.545166
6096,0.737471779,7905.07343
6096,0.766668194,7877.098909
6096,0.79055448,7840.359865
6096,0.825062469,7832.973718
6096,0.84098923,7829.53874
9144,0.282421198,6979.841343
9144,0.323228478,6785.985162
9144,0.352417966,6701.25615
9144,0.380281527,6627.494266
9144,0.418764218,6562.005038
9144,0.447951342,6457.914803
9144,0.477144636,6404.370866
9144,0.510127351,6328.170476
9144,0.535531406,6298.761643
9144,0.564724934,6247.139418
9144,0.589496785,6216.309148
9144,0.6231169,6184.096063
9144,0.652315914,6177.404475
9144,0.681512329,6149.429954
9144,0.721329954,6146.754435
9144,0.750529545,6144.792388
9144,0.779728559,6138.100801
9144,0.819543873,6116.507119
9144,0.848746351,6138.192776
9144,0.87794652,6140.96027
9144,0.910943132,6178.606685
9144,0.936352342,6191.425896
9144,0.965199903,6230.083063
12192,0.358686323,4376.246548
12192,0.392614654,4367.463585
12192,0.426454366,4322.032333
12192,0.454745702,4287.052829
12192,0.479538588,4269.774164
12192,0.522010025,4261.221369
12192,0.551209616,4259.259322
12192,0.579081953,4257.386459
12192,0.620226831,4254.621757
12192,0.649426423,4252.65971
12192,0.678626014,4250.697663
12192,0.723753667,4255.956391
12192,0.752953258,4253.994344
12192,0.782153858,4260.294708
12192,0.815778617,4266.127911
12192,0.840554483,4268.194467
12192,0.869757468,4294.03137
12192,0.890996203,4314.465656
12192,0.922511827,4344.00681
12192,0.963958771,4404.105647
