Altitude (m),TAS (m/s),Intake Airflow (kg/s),Mach Number
0,0.0,18.367456,0.0
1524,0.0,15.69818982,0.0
3048,0.0,13.48331337,0.0
4572,0.0,11.56090929,0.0
6096,0.0,9.897062449,0.0
7620,0.0,8.266583713,0.0
0,51.4444,18.51205113,0.15117634107616373
1524,51.4444,16.13161053,0.15384388474110552
3048,51.4444,13.46690283,0.15665781056467057
4572,51.4444,11.64095628,0.1596320156891243
6096,51.4444,9.944835366,0.16278231739577698
7620,51.4444,8.314356631,0.16612680825092035
9144,51.4444,6.9431644939999995,0.16968629498384347
10668,51.4444,5.669706263999999,0.17348484547455112
0,102.8888,18.78774827,0.30235268215232747
1524,102.8888,16.60149911,0.30768776948221105
3048,102.8888,14.09797942,0.31331562112934114
4572,102.8888,12.04629672,0.3192640313782486
6096,102.8888,10.25371828,0.32556463479155395
7620,102.8888,8.816154604,0.3322536165018407
9144,102.8888,7.251682725,0.33937258996768693
10668,102.8888,5.97676578,0.34696969094910224
0,154.3332,19.51747047,0.45352902322849115
1524,154.3332,17.17058031,0.4615316542233166
3048,154.3332,14.76315348,0.4699734316940117
4572,154.3332,12.71037674,0.4788960470673729
6096,154.3332,10.88443019,0.4883469521873309
7620,154.3332,9.221859725,0.49838042475276106
9144,154.3332,7.65592913,0.5090588849515304
10668,154.3332,6.250639529,0.5204545364236534
0,205.7776,6.726180632,0.6047053643046549
1524,205.7776,8.322014885,0.6153755389644221
3048,205.7776,9.792217305,0.6266312422586823
4572,205.7776,11.74416037,0.6385280627564972
6096,205.7776,13.95575471,0.6511292695831079
7620,205.7776,15.68688478,0.6645072330036814
9144,205.7776,18.192410199999998,0.6787451799353739
10668,205.7776,20.92677154,0.6939393818982045
