Altitude (m),Power (W),Speed (RPM)
807.4387844,137841.3413,2000
6173.721989,74666.77354,2000
5468.216744,82974.42241,2000
4657.157158,92652.11046,2000
3890.540066,101781.9166,2000
1440.728392,130355.1811,2000
2207.336375,121408.8937,2000
3040.608099,111640.7834,2000
162.6036014,154227.4913,2100
951.4738215,144181.4287,2100
1762.560734,133953.1844,2100
2529.205153,124272.8221,2100
3290.293121,114683.8849,2100
4062.498544,104820.3382,2100
4745.809869,96236.07414,2100
6418.009967,74589.72241,2100
5479.124693,86920.74365,2100
-10.0152742,164494.1775,2200
634.4191156,156182.8516,2200
1262.197818,147870.5228,2200
3578.873295,117087.0109,2200
2801.088649,127500.7795,2200
2023.308558,137822.7888,2200
4201.090992,108957.8666,2200
4806.648447,100919.4788,2200
5428.884362,92423.29704,2200
6056.667618,84019.20891,2200
6740.015379,74700.86991,2200
-10.32953246,170825.5737,2300
678.5701243,161507.569,2300
1434.138077,151275.982,2300
2056.383101,142596.2815,2300
2595.285923,135196.1979,2300
3056.416656,128709.0281,2300
3567.550889,121490.7919,2300
4134.226854,113817.1016,2300
6778.75568,77180.71271,2300
4806.470823,104498.094,2300
5517.596281,94814.38897,2300
6167.623557,85677.56304,2300
-10.6483452,177248.7292,2400
506.042338,169939.0679,2400
1067.184625,161898.0059,2400
1528.315358,155410.8361,2400
1911.674003,149836.58,2400
2372.804736,143349.4102,2400
2978.398626,134576.9475,2400
3489.537414,127266.9519,2400
3972.898503,120322.3224,2400
4484.03729,113012.3268,2400
4978.515835,105793.0878,2400
5495.215627,98299.90772,2400
6023.023766,90715.63687,2400
6450.838569,84318.22075,2400
6867.517699,78562.45163,2400
-10.90794985,182479.013,2500
583.5912575,173522.363,2500
1216.9674,164292.7749,2500
1744.784647,156524.9853,2500
2317.048944,148117.5544,2500
2961.537988,138705.1161,2500
3683.812783,128104.486,2500
4417.205033,117229.2463,2500
5122.819586,106719.3726,2500
5756.209392,97214.50642,2500
6228.475798,90085.68961,2500
6828.526902,81129.3739,2500
5.579222782,185875.1124,2575
505.6278815,178289.1701,2575
1016.780332,170703.8964,2575
1677.943281,160925.4235,2575
2289.098177,151969.7764,2575
2950.261126,142191.3034,2575
3628.093426,132138.5552,2575
4300.364722,122268.9915,2575
6706.148358,85893.50675,2575
6122.752943,94850.8253,2575
5467.137335,104721.3919,2575
4817.082732,114408.774,2575
