Altitude (m),TAS (m/s),BSFC (g/(kWh)),Mach Number
0,0.0,318.4970739,0.0
1524,0.0,309.7860998,0.0
3048,0.0,302.2453695,0.0
4572,0.0,296.9981959,0.0
6096,0.0,292.3944294,0.0
7620,0.0,290.9849896,0.0
0,51.4444,315.9930852,0.15117634107616373
1524,51.4444,307.00658139999996,0.15384388474110552
3048,51.4444,299.8942845,0.15665781056467057
4572,51.4444,294.25349730000005,0.1596320156891243
6096,51.4444,290.34612430000004,0.16278231739577698
7620,51.4444,288.6611548,0.16612680825092035
9144,51.4444,296.5107205,0.16968629498384347
10668,51.4444,288.9336566,0.17348484547455112
0,102.8888,309.6937519,0.30235268215232747
1524,102.8888,300.3015233,0.30768776948221105
3048,102.8888,294.32465049999996,0.31331562112934114
4572,102.8888,288.1161512,0.3192640313782486
6096,102.8888,284.4827939,0.32556463479155395
7620,102.8888,282.1831815,0.3322536165018407
9144,102.8888,281.9000824,0.33937258996768693
10668,102.8888,282.25433480000004,0.34696969094910224
0,154.3332,301.503559,0.45352902322849115
1524,154.3332,290.49902810000003,0.4615316542233166
3048,154.3332,284.53578039999996,0.4699734316940117
4572,154.3332,279.33856549999996,0.4788960470673729
6096,154.3332,275.2752609,0.4883469521873309
7620,154.3332,272.3791724,0.49838042475276106
9144,154.3332,270.8107731,0.5090588849515304
10668,154.3332,270.8713291,0.5204545364236534
0,205.7776,290.7018905,0.6047053643046549
1524,205.7776,277.220621,0.6153755389644221
3048,205.7776,271.996156,0.6266312422586823
4572,205.7776,267.6739747,0.6385280627564972
6096,205.7776,264.0799787,0.6511292695831079
7620,205.7776,261.9090477,0.6645072330036814
9144,205.7776,260.0560355,0.6787451799353739
10668,205.7776,258.8464303,0.6939393818982045
